labels,number_of_injured,number_of_crashes,center_lat,center_lng
512,7,3,53.21159633333333,50.19208366666667
4,12,5,53.3609286,51.346283
5,9,2,54.2246255,51.500172500000005
7,1,2,53.259787,50.4575875
8,4,2,53.483816,49.486531
526,5,2,53.520315,49.279979499999996
15,10,3,53.34932033333333,50.21886833333333
527,7,3,53.207029,50.238985
529,0,2,53.468973000000005,50.190317
530,5,2,53.223124999999996,50.188343
532,4,2,53.527548,49.417158
533,8,2,53.517183,49.4060985
537,5,2,53.231797,50.24682249999999
539,4,2,53.2608445,50.2151875
31,4,2,53.527590000000004,49.396875
32,6,3,53.21837033333333,50.241326
40,7,2,53.36197,49.457868000000005
554,4,2,53.5253235,49.428799999999995
555,4,2,53.515409500000004,49.272947
47,4,2,53.2061705,50.122547499999996
560,7,3,53.20524833333333,50.189724
561,4,2,53.1675175,48.4967835
562,2,2,53.209847499999995,50.175098
564,7,2,53.2309525,50.307675
566,6,2,53.223147499999996,50.2663905
567,2,2,53.187000499999996,50.176339999999996
54,2,2,53.122671499999996,48.397211
577,4,3,53.24522133333333,50.24819733333333
69,3,2,53.215526999999994,48.583051999999995
582,4,2,53.5114255,49.4165255
591,2,2,53.241434,50.2378975
592,2,2,53.516386,49.71828549999999
594,4,2,53.5179835,49.425419500000004
82,5,2,53.806853000000004,49.7984235
596,7,2,53.224046,50.2599365
85,4,2,53.5494495,49.332052000000004
86,2,2,53.234767500000004,50.317046500000004
87,6,2,53.434126,50.1222095
93,2,2,53.7046945,49.421809499999995
101,5,2,53.217299,50.187601799999996
106,6,3,53.26866366666667,50.221755333333334
107,2,2,52.9053185,49.6873135
112,5,3,53.39816966666667,50.42168866666667
113,4,2,53.522608000000005,49.424229999999994
117,3,2,53.1358235,50.103708
137,7,3,53.382323666666665,50.166316
140,2,2,53.4029825,49.521699999999996
144,2,2,53.286351,50.671847
147,2,3,53.537019,49.28993233333333
159,6,2,53.5092675,49.303427
160,2,2,53.513357,49.132484500000004
165,6,3,53.20298833333334,50.15814233333333
170,6,4,53.217996,50.26460425
171,2,2,53.5688375,49.291461
172,3,2,53.0864725,50.065281999999996
175,5,2,53.210042,48.282272500000005
177,6,3,53.50515333333333,49.416468333333334
183,5,2,53.568362,49.377755
193,5,2,53.21594,48.6495855
194,6,2,53.487298499999994,50.1175795
214,4,2,53.119117,50.076434
221,5,2,53.5393445,49.2635645
224,2,2,53.194291,50.178427
228,9,3,53.478368,49.440077333333335
229,2,2,53.244831500000004,50.584937
234,10,4,53.2073245,50.234117749999996
246,8,4,53.20591475,50.19479575
250,4,2,53.5150735,49.877993000000004
251,5,2,53.5226335,49.160174999999995
262,8,3,53.51696166666667,49.30955266666667
267,6,3,53.54578,49.374023666666666
268,10,3,53.21291233333333,48.556082333333336
271,4,3,53.53697966666667,49.350763666666666
273,4,3,53.30580833333333,50.28925566666667
275,5,2,53.3021595,50.336470500000004
276,4,3,53.15807866666667,48.473168333333334
277,4,2,52.878564499999996,50.857585
281,1,2,53.0769855,49.951018000000005
308,2,2,53.3573725,50.207959
310,4,2,53.3081915,50.310823
311,0,2,53.552101,49.305997
318,4,2,53.560336500000005,49.358359500000006
321,6,3,53.200633333333336,50.22424866666667
323,7,3,53.504433666666664,49.40007666666666
335,5,2,53.5353865,49.3123655
340,7,2,53.646921,49.67563749999999
344,4,2,53.5368995,49.412926
346,9,3,53.24718566666667,50.216141666666665
357,5,2,53.397676000000004,49.509919499999995
368,2,2,53.213128499999996,50.2128625
373,4,2,53.2362515,50.307382000000004
381,2,2,53.202402,50.142899
386,4,2,53.174347999999995,48.499705000000006
399,9,3,53.19811666666667,50.19040233333333
403,14,5,53.196805,50.124699
404,1,2,53.5026835,49.427535
412,4,2,53.3798175,50.3422225
416,4,2,53.5203765,49.295167500000005
421,8,3,53.189680333333335,50.17228933333333
426,4,2,53.550404,49.3197445
435,5,3,53.21617466666667,50.253005
438,2,2,53.0923605,50.152071
447,6,2,53.052081,50.402322999999996
449,5,2,53.466946,50.183372
451,3,2,53.2449335,50.308907000000005
456,4,2,53.349558,50.226684
458,5,2,53.392163499999995,50.325462
464,2,2,53.2302505,50.205293999999995
470,4,2,53.22686,50.2567125
472,4,2,53.3011125,50.2816
473,8,3,53.260036,50.29134
474,4,2,53.5262295,49.312045499999996
488,6,2,53.172945,48.4271705
498,10,2,53.236364,50.323298
499,4,2,53.542371,49.329513
504,4,2,53.507341,49.2688645
